text_id	text	masks_stance	masks_argument	quarantine_stance	quarantine_argument	vaccines_stance	vaccines_argument
17024	[USER], согласно предписаниям Роспотребнадзора, все транзитные пассажиры, следующие через Москву, должны пройти 14-дневный карантин у себя по месту жительства.	-1	-1	1	1	-1	-1
17025	О несоблюдении карантинных мер контактными лицами можно сообщить на на горячую линию Роспотребнадзора - 8-800-100-0004 (можно позвонить бесплатно из любого населенного пункта России в рабочие дни с 10-00 до 17-00 (время московское), перерыв с 12-00 до 12-45) или в Единый консультационный центр Роспотребнадзора - 8-800-555-49-43.	-1	-1	1	1	-1	-1
17027	[USER], читайте больше книжек на карантине, может мозг реанимируете	-1	-1	1	1	-1	-1
17030	Иди почитай инсту наших городских пабликов где каждый 10ый пишет что у них знакомый откуда то вернулся и плевал на карантин, у нас никто ниче не раздает, раздавать нечего в аптеках нет ничего)	-1	-1	1	1	-1	-1
17031	Все контактные лица, которых они обозначили, отправлены на 14-дневный карантин, им сделают тестирование.	-1	-1	1	1	-1	-1
17033	[USER], многие находятся на домашнем карантине	-1	-1	1	1	-1	-1
17034	Если бы сразу запретили перелеты и ввели карантин, то никто бы не полетел никуда.	-1	-1	2	1	-1	-1
17036	[USER], надеемся, что в других регионах не придется вводить настолько жесткие меры по карантину	-1	-1	1	1	-1	-1
17037	[USER], почему доктор зойдберг не имеет песню про маски и карантин?	1	1	1	1	-1	-1
17042	вот из-за таких идиотов, которые ходят без масок и не сидят на карантине страдают все!	2	1	2	1	-1	-1
17046	В тот момент, когда самое время вводить карантин — кажется, что еще рано.	-1	-1	1	1	-1	-1
17047	И я удивлена, что в ЮАР, например, строгий карантин ввели, даже тут понимают последствия	-1	-1	2	1	-1	-1
17051	[USER], а у мужа со всеми симптомами коронавируса даже мазок не взяли, выписали, пошел платно сдал и привет,2 недели на карантине дома с подтвержденным  2 мазка пришли  что толку от врачей  были кашель, отдышка, пропало обоняние и вкус, а терапевт сказала такое и при орви и	-1	-1	1	1	-1	-1
